@relation all_predicted

@attribute ﻿latitude numeric
@attribute longitude numeric
@attribute brightness numeric
@attribute scan numeric
@attribute track numeric
@attribute satellite_date {4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/12/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/19/2020,4/20/2020,4/22/2020,4/23/2020,4/24/2020,5/3/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020}
@attribute confidence {nominal,high,low,82,89,72,61,80,100,90,49,86,75,91,36,77,35,55,87,62,74,93,76,95,78,79,58,54,71,40,83,50,53,68,46,64,60,85,73,70,37,65,88,51,84,92,56,20,66,57,2.7}
@attribute bright_t31 numeric
@attribute frp numeric

@data
19.855,100.349,316.5,2.5,1.5,4/4/2020,93,295.4,48.6
19.85964,100.46136,303.2,0.48,0.4,4/4/2020,nominal,292,0.8
20.24151,99.59756,367,0.4,0.6,4/4/2020,high,305.9,20.7
19.833,99.452,328.1,3,1.6,4/4/2020,76,303.5,82.1
19.836,99.449,317.6,1.8,1.3,4/4/2020,95,294.3,34.1
19.834,99.457,329.8,3,1.6,4/4/2020,78,303.5,93.8
19.829,99.443,320.2,1.8,1.3,4/4/2020,100,294.8,40.5
19.82942,99.44264,339.4,0.54,0.42,4/4/2020,nominal,305,32
19.841,99.46,334.7,1.1,1.1,4/4/2020,77,303.4,28.2
19.84269,99.46076,333.8,0.42,0.38,4/4/2020,low,306.5,24.3
19.843,99.45983,307.5,0.54,0.42,4/4/2020,nominal,294.4,2.7
19.672,99.364,329.4,1.1,1,4/4/2020,79,303,20.7
19.667,99.357,323.3,1.1,1,4/4/2020,58,304.8,10.6
19.665,99.367,329.3,1.1,1,4/4/2020,79,303.9,20.5
19.66367,99.36752,314.7,0.54,0.42,4/4/2020,nominal,295.6,1.7
19.66372,99.36543,308.1,0.58,0.52,4/4/2020,nominal,293.7,1.4
19.883,99.452,328.1,3,1.6,4/4/2020,76,303.5,82.1
19.834,99.457,329.8,3,1.6,4/4/2020,78,303.5,93.8
19.836,99.449,317.6,1.8,1.3,4/4/2020,95,294.3,34.1
19.841,99.46,334.7,1.1,1.1,4/4/2020,77,303.4,28.2
19.84269,99.476076,333.8,0.42,0.38,4/4/2020,low,306.5,24.3
19.835,99.463,327,1.1,1.1,4/4/2020,75,304.8,18.6
19.84258,99.46931,367,0.41,0.61,4/4/2020,high,301.4,17.1
19.84306,99.4689,352.6,0.41,0.61,4/4/2020,nominal,299.7,10.6
19.85964,100.46136,303.2,0.48,0.4,4/4/2020,nominal,292,0.9
19.255,99.427,304.8,1.1,1.1,4/5/2020,54,294.6,5.5
19.1277,99.35229,333.1,0.44,0.39,4/5/2020,low,301.5,6.6
19.12427,99.34619,316.1,0.4,0.37,4/6/2020,nominal,294.4,2
19.201,99.334,316.4,1,1,4/6/2020,40,299.8,8.2
19.199,99.343,318.8,1,1,4/6/2020,58,299.9,10.3
19.19632,99.33824,305,0.4,0.37,4/6/2020,nominal,293.4,0.8
19.24623,99.43124,345.1,0.39,0.44,4/6/2020,nominal,307,3.3
19.24975,99.42677,335.3,0.38,0.44,4/6/2020,nominal,305.6,3.3
19.51613,99.64796,341.4,0.52,0.5,4/6/2020,nominal,299.9,6.4
19.614,99.598,325.6,1,1,4/6/2020,74,302.3,14.3
19.616,99.59952,337.6,0.52,0.5,4/6/2020,nominal,299,5.9
19.589,99.32,334.2,1,1,4/6/2020,83,303.2,27.9
19.591,99.311,346.8,1,1,4/6/2020,93,302.4,50.5
19.59745,99.33198,339.5,0.54,0.51,4/6/2020,nominal,300.3,7.1
19.59728,99.33453,341.3,0.54,0.51,4/6/2020,nominal,298.7,5.4
19.80667,99.45467,330.1,0.39,0.44,4/6/2020,low,301.8,4.7
19.80708,99.45801,338.8,0.39,0.44,4/6/2020,nominal,303.2,4.7
19.80346,99.462,348.1,0.39,0.44,4/6/2020,nominal,303.1,5.9
19.87,99.421,320.8,1,1,4/6/2020,50,306.5,7.6
19.86973,99.41534,350.3,0.53,0.53,4/6/2020,nominal,298.4,14.8
20.00808,99.61037,340.2,0.51,0.49,4/6/2020,nominal,301.7,7.9
