latitude,longitude,brightness,scan,track,insert_time,satellite_date,confidence,bright_t31,frp,result
19.39603,99.68672,312.4,0.39,0.36,2:00:00,4/3/2020,nominal,294.4,1,NO
19.39603,99.68672,312.4,0.39,0.36,2:00:00,4/3/2020,nominal,294.4,1.1,NO
19.3981,99.63119,307.2,0.39,0.36,2:00:00,4/3/2020,nominal,290.2,0.5,NO
19.44254,99.3853,340,0.43,0.46,13:06:00,4/3/2020,nominal,308.4,5.1,NO
19.44665,99.38419,348.2,0.43,0.46,13:06:00,4/3/2020,nominal,309.4,5.1,NO
19.44685,99.60226,307,0.39,0.36,2:00:00,4/3/2020,nominal,293.8,0.6,NO
19.44743,99.5986,304.8,0.39,0.36,2:00:00,4/3/2020,nominal,293.5,0.6,NO
19.45015,99.60283,310.8,0.39,0.36,2:00:00,4/3/2020,nominal,295.2,1.7,NO
19.45333,99.60389,304.1,0.56,0.69,1:06:00,4/3/2020,nominal,294.1,1.1,NO
19.45345,99.60341,319.5,0.39,0.36,2:00:00,4/3/2020,nominal,296.7,1.7,NO
19.45462,99.5961,328.7,0.39,0.36,2:00:00,4/3/2020,nominal,297,2.2,NO
19.45462,99.5961,328.8,0.39,0.36,2:00:00,4/3/2020,nominal,297,2.2,NO
19.45519,99.59243,317.3,0.39,0.36,2:00:00,4/3/2020,nominal,295.5,2.2,NO
19.45661,99.6021,304.9,0.56,0.69,1:06:00,4/3/2020,nominal,294.2,2.5,NO
19.45714,99.32334,308.4,0.38,0.36,2:00:00,4/3/2020,nominal,291.4,0.9,NO
19.45908,99.58934,315.5,0.39,0.36,2:00:00,4/3/2020,nominal,295.8,1,NO
19.45966,99.58568,307.2,0.38,0.36,2:00:00,4/3/2020,nominal,294,1,NO
19.51266,99.63668,309.1,0.39,0.36,2:00:00,4/3/2020,nominal,296,1.4,YES
19.52104,99.92425,312.8,0.39,0.36,2:00:00,4/3/2020,nominal,299,2.4,NO
19.567,99.59381,307.9,0.38,0.36,2:00:00,4/3/2020,nominal,295.2,1.7,NO
19.567,99.59381,307.9,0.38,0.36,2:00:00,4/3/2020,nominal,295.2,1.8,NO
19.56933,99.58242,335,0.41,0.45,13:06:00,4/3/2020,low,306,4.2,NO
19.56933,99.58242,335,0.41,0.45,13:06:00,4/3/2020,low,306,4.3,NO
19.57339,99.58136,349,0.41,0.45,13:06:00,4/3/2020,nominal,309.5,9.4,NO
19.5741,99.58523,336.5,0.41,0.45,13:06:00,4/3/2020,low,306.7,9.4,NO
19.58466,99.58954,306.7,0.38,0.36,2:00:00,4/3/2020,nominal,295,1.3,NO
19.58523,99.5859,309.7,0.38,0.36,2:00:00,4/3/2020,nominal,294.5,1.3,NO
19.58523,99.5859,309.8,0.38,0.36,2:00:00,4/3/2020,nominal,294.5,1.3,NO
19.58692,99.58555,341.5,0.41,0.45,13:06:00,4/3/2020,nominal,309.5,4.7,NO
19.58817,99.58578,316.4,0.38,0.36,2:00:00,4/3/2020,nominal,296.5,2.6,NO
19.58858,99.5818,345.4,0.41,0.45,13:06:00,4/3/2020,nominal,312.3,7.9,NO
19.58875,99.58215,305.9,0.38,0.36,2:00:00,4/3/2020,nominal,293.6,1.3,NO
19.59205,99.58274,319.2,0.38,0.36,2:00:00,4/3/2020,nominal,295.8,1.3,NO
19.6017,99.31958,309.5,0.58,0.7,1:06:00,4/3/2020,nominal,291.5,1.2,NO
