brightness,scan,track,confidence,bright_t31,frp
335.1,0.4,0.37,low,309.7,3.7
356.2,0.4,0.37,nominal,315.7,20.5
308.5,0.42,0.37,nominal,293.7,0.7
305.4,0.42,0.37,nominal,293.5,0.7
344,0.62,0.54,nominal,306.9,13.6
371,1.1,1.1,100,312.5,123.8
351,0.51,0.41,nominal,311.6,16.5
336.7,1.1,1.1,85,311.4,27.4
340.6,0.62,0.54,nominal,305.7,13.6
348.8,0.62,0.54,nominal,308.5,13.6
349,0.51,0.41,nominal,309.7,15.5
331.6,1.1,1.1,73,308.8,20.4
355.6,0.51,0.41,nominal,313.7,16
333.2,0.51,0.41,low,306.9,8.3
338.8,0.62,0.54,nominal,306.6,8
331.3,1.1,1.1,75,310.4,19.8
335.8,0.51,0.41,low,309.1,5.7
323.6,1.4,1.2,70,304.5,17.2
331.9,0.5,0.41,low,305.7,4
367,0.32,0.55,high,312.3,15.7
300.4,0.74,0.76,nominal,288.6,2.8
304.7,0.74,0.76,nominal,289.9,3.2
309.9,0.74,0.76,nominal,290,2.8
315.7,1.4,1.2,37,299.1,10.4
367,0.33,0.55,high,296,8.8
319.4,1.4,1.2,65,299,16.7
347.2,1.4,1.2,93,300.3,80.8
330.8,0.48,0.4,low,301.3,4.5
341.5,0.48,0.4,nominal,302,4.5
333.5,0.44,0.38,nominal,296,4.4
344.6,0.44,0.38,nominal,297.4,7.7
309.3,1,1,77,292.1,8.6
304.9,1,1,62,289.9,5.7
346.1,0.45,0.39,nominal,295.5,7.9
312.8,0.45,0.39,nominal,293.3,7.9
338.3,0.48,0.4,nominal,300.6,3.4
302.4,1,1,35,288.4,5.1
305.5,1,1,65,287.2,7.2
367,0.49,0.65,high,305.6,11.3
336.9,0.39,0.36,low,302.3,3.1
305.1,0.38,0.43,nominal,289.2,0.9
308.8,0.56,0.43,nominal,290.6,1.9
319.4,0.56,0.43,nominal,290.8,1.9
337.2,0.39,0.36,nominal,307.6,7
337.3,0.38,0.36,low,309.6,5.3
334.7,2,1.4,85,300.1,77.7
338.6,2,1.4,88,300.2,93.9
321.4,2,1.4,71,299.6,32.1
334.2,0.39,0.36,nominal,300.2,4.1
332.4,0.52,0.67,nominal,293.3,6
321.8,0.38,0.36,nominal,291,1.7
313.8,0.39,0.36,nominal,293.9,1.6
319.5,0.38,0.36,nominal,293.1,1.7
304.2,0.57,0.69,nominal,289.8,0.9
307.8,0.38,0.36,nominal,290.9,0.9
309.2,0.39,0.36,nominal,289.7,0.9
325.1,0.39,0.36,nominal,292.2,2
308.1,0.39,0.36,nominal,293.5,1.2
308.5,0.39,0.36,nominal,290.2,1.7
339.6,0.41,0.45,nominal,299.5,3.3
351.4,0.5,0.49,nominal,303.7,10.7
306.5,0.58,0.7,nominal,286.9,1.4
305.9,0.39,0.36,nominal,294.4,1.4
309.9,0.39,0.36,nominal,295.4,1.5
313.5,0.52,0.67,nominal,291.5,2.5
305.7,0.39,0.36,nominal,294.6,1.6
316.8,0.39,0.36,nominal,295.3,1.5
323.3,0.39,0.36,nominal,296.2,1.6
310.1,0.39,0.36,nominal,295.4,2.5
320.4,0.39,0.36,nominal,295.1,2.8
309.2,0.39,0.36,nominal,294.6,1.4
313.5,0.39,0.36,nominal,295,1.8
311,0.39,0.36,nominal,295,1.4
317,0.39,0.36,nominal,293.3,1.1
311.9,0.39,0.36,nominal,294.5,1.6
307.7,0.39,0.36,nominal,293.7,1.1
306.6,0.39,0.36,nominal,294.6,1.6
306.5,0.39,0.36,nominal,293.3,1.3
304.2,2,1.4,51,290.8,13.3
317.2,0.39,0.36,nominal,265.8,1.7
303.2,0.55,0.68,nominal,286.4,2.1
302.6,0.55,0.68,nominal,282.9,2.4
324.7,0.39,0.36,nominal,294.7,2
367,0.51,0.49,high,296,20.6
304.4,1,1,60,292.3,5
334.7,0.39,0.44,nominal,300.1,2
304.5,0.5,0.49,nominal,289.9,0.6
303.8,0.41,0.45,nominal,290.1,0.4
345.7,0.67,0.74,nominal,295.6,7
306.6,0.44,0.46,nominal,290.6,1.4
314.5,0.47,0.48,nominal,290.5,1.4
318.2,0.44,0.46,nominal,291.4,1.4
302.9,0.47,0.48,nominal,290.6,1.4
305.2,0.44,0.46,nominal,290.6,1.5
333.4,0.39,0.36,low,305.9,3.4
335.5,0.61,0.53,low,307,10
332.8,0.61,0.53,low,305.1,5.1
335.3,0.34,0.56,nominal,297.4,4.1
330.6,0.45,0.39,nominal,330.6,4.7
335.7,1,1,84,335.7,21.4
345.5,0.48,0.4,nominal,345.5,14.7
341.4,0.48,0.4,low,314,9
336.6,0.48,0.4,low,309.7,8.5
331.9,0.48,0.4,low,306.7,3.3
315.7,0.44,0.38,nominal,292.6,1.2
346,1.1,1,92,304.9,40.7
339.9,0.53,0.42,nominal,306.2,63.6
342,0.48,0.48,nominal,307.8,32.6
343.3,0.48,0.48,nominal,343.3,31.2
345.6,0.49,0.48,nominal,303.7,7.8
305.8,0.38,0.36,nominal,293.1,1.5
335.7,0.4,0.44,nominal,300.6,5.4
338.7,0.52,0.5,nominal,300.9,5.3
332.9,0.52,0.5,nominal,301.6,5.3
344,0.4,0.44,nominal,302.1,5.4
330.4,0.41,0.45,low,304.3,2.8
340.9,0.4,0.44,nominal,301.8,5.7
335.5,0.55,0.43,nominal,303.8,5.7
318.2,0.39,0.36,nominal,294.4,1.9
308.6,0.39,0.36,nominal,294.2,1.6
326.2,0.39,0.36,nominal,294.9,2.2
309.5,0.39,0.36,nominal,293.8,2
331.9,0.56,0.43,low,331.9,2.4
305,0.56,0.52,nominal,305,6.4
330.6,0.56,0.43,low,305.1,3.4
341,0.42,0.38,nominal,307.4,8
331.8,0.42,0.38,low,306.5,3.2
330.8,0.42,0.37,low,303.8,2
346.2,0.42,0.61,nominal,297.1,9.1
337.2,0.42,0.61,nominal,296,9
344,0.42,0.61,nominal,298,10.5
342.7,0.4,0.6,nominal,299.1,7.2
350.7,0.4,0.6,nominal,297,7.3
344.5,0.43,0.38,nominal,310.8,4.3
331.1,0.4,0.6,nominal,296.1,3.1
337.3,0.44,0.38,nominal,305.7,1.6
348,0.44,0.38,nominal,307,3.7
331.1,0.44,0.38,low,305.2,3.7
332.8,0.44,0.38,low,304.5,3.3
339,0.44,0.39,nominal,307.2,8.1
335.1,0.45,0.39,low,308.2,4.3
337.2,0.39,0.44,nominal,304.6,2.6
341.6,0.38,0.44,nominal,300.6,1.8
345.6,0.39,0.44,nominal,299.1,103.5
331.1,0.39,0.44,low,304,2.5
332.4,0.39,0.44,nominal,297.5,3.1
345.5,0.38,0.44,nominal,300.3,4.9
338.9,0.42,0.45,nominal,297.9,5.7
305.6,0.4,0.37,nominal,294.7,1.6
321.4,0.4,0.37,nominal,295.8,2.3
305.3,0.4,0.37,nominal,292,0.3
302.7,0.4,0.37,nominal,291.6,0.3
328.1,1,1,71,310.1,12.8
304.1,3.1,1.7,58,304.1,21.2
341.9,0.4,0.44,nominal,303.1,15
337.2,0.4,0.44,nominal,305.2,2.6
337.8,0.45,0.47,low,309.6,6.7
336.8,0.39,0.36,nominal,299.4,2.5
350,0.39,0.36,nominal,312.3,27
343.2,0.39,0.36,nominal,308.3,7.8
339,0.39,0.36,low,310,3.5
331.5,0.39,0.36,low,305.6,3.8
336.7,0.39,0.36,nominal,306.1,3.7
341.4,0.39,0.36,nominal,307.8,4.6
330.1,0.52,0.67,nominal,298.9,6.5
308.5,1,1,75,297,4.4
308.5,1,1,75,294.4,6.3
303.6,1.1,1.1,56,292.2,4.7
314.7,0.43,0.46,nominal,295.8,2.5
324.5,2.9,1.6,20,297.1,75.5
334.2,0.39,0.36,low,304.6,2.5
334.7,2.9,1.6,80,299.2,129.9
314.4,1,1,89,290.8,12.9
338.3,0.39,0.36,nominal,304.2,2.5
339.7,0.39,0.36,nominal,304.9,2.5
305.9,1,1,66,293.7,4.7
332.5,0.4,0.37,low,305.6,4.1
337.5,0.4,0.37,nominal,305.4,6.3
337.6,0.4,0.37,nominal,301.8,3.4
