@relation ai_pre_predicted

@attribute ﻿latitude numeric
@attribute longitude numeric
@attribute brightness numeric
@attribute scan numeric
@attribute track numeric
@attribute confidence numeric
@attribute bright_t31 numeric
@attribute frp numeric

@data
19.83904,99.43867,354.3,0.42,0.45,50,307.6,23.4
19.8314,100.286,310.4,0.39,0.36,50,297.1,1.7
19.74827,100.38128,311.8,0.39,0.36,50,295.3,1.9
19.71876,99.53512,367,0.41,0.45,80,314.9,16
19.71811,99.53161,367,0.41,0.45,80,316.9,12.3
19.623,99.33017,367,0.43,0.46,80,306.8,7.9
19.51266,99.63668,309.1,0.39,0.36,50,296,1.4
19.37918,99.41138,307.2,0.38,0.36,50,292,1
19.18235,99.49674,315.5,0.38,0.36,50,296.5,1.5
19.09153,99.45138,335.5,0.38,0.36,50,299.1,3.4
19.08823,99.45077,325,0.38,0.36,50,297.2,3.4
19.08796,99.34599,305.9,0.38,0.36,50,290.9,0.8
19.02412,99.4054,302.4,0.38,0.36,50,292.4,0.7
19.02355,99.40904,309.9,0.38,0.36,50,292.3,0.7
20.258,99.731,304.1,1.9,1.3,55,293.2,12
19.849,99.44,315.3,1.8,1.3,91,294.1,27.1
19.847,99.423,313.8,1.7,1.3,87,295.4,23.5
19.839,99.458,306.9,1.8,1.3,62,295.7,14.1
19.692,99.355,309,1.7,1.3,74,296.4,15.1
19.34347,99.56086,304,0.52,0.42,50,293.8,1.3
19.44359,99.31711,311.1,354,342,50,293.1,2.1
19.855,100.349,316.5,2.5,1.5,93,295.4,48.6
19.85964,100.46136,303.2,0.48,0.4,50,292,0.8
20.24151,99.59756,367,0.4,0.6,80,305.9,20.7
19.833,99.452,328.1,3,1.6,76,303.5,82.1
19.836,99.449,317.6,1.8,1.3,95,294.3,34.1
19.834,99.457,329.8,3,1.6,78,303.5,93.8
19.829,99.443,320.2,1.8,1.3,100,294.8,40.5
19.82942,99.44264,339.4,0.54,0.42,50,305,32
19.841,99.46,334.7,1.1,1.1,77,303.4,28.2
19.84269,99.46076,333.8,0.42,0.38,20,306.5,24.3
19.843,99.45983,307.5,0.54,0.42,50,294.4,2.7
19.672,99.364,329.4,1.1,1,79,303,20.7
19.667,99.357,323.3,1.1,1,58,304.8,10.6
19.665,99.367,329.3,1.1,1,79,303.9,20.5
19.66367,99.36752,314.7,0.54,0.42,50,295.6,1.7
19.66372,99.36543,308.1,0.58,0.52,50,293.7,1.4
19.883,99.452,328.1,3,1.6,76,303.5,82.1
19.834,99.457,329.8,3,1.6,78,303.5,93.8
19.836,99.449,317.6,1.8,1.3,95,294.3,34.1
19.841,99.46,334.7,1.1,1.1,77,303.4,28.2
19.84269,99.476076,333.8,0.42,0.38,20,306.5,24.3
19.835,99.463,327,1.1,1.1,75,304.8,18.6
19.84258,99.46931,367,0.41,0.61,80,301.4,17.1
